Borough,Job Type,Job Status,Approved,Job #,Building Type,Pre- Filing Date,BUILDING_CLASS,Job Description,Date_Approved,Fully Paid,GIS_LATITUDE,GIS_LONGITUDE,Initial Cost
BRONX,A2,P,02/10/2023,240329907,OTHERS,05/26/2022,D3,NO WORK APPLICATION TO RECORD UPDATED METES AND BOUNDS INFORMATION FOR THE LOT. NO CHANGE TO USE EGRESS OR OCCUPANCY ON THIS APPLICATION.,2023-10-02,07/11/2022,40.814684,-73.918563,$1000.00
BRONX,A2,P,03/07/2023,240344374,1-2-3 FAMILY,03/01/2023,B1,"INSTALLATION OF  SOLAR PANEL ON EXISTING ROOF INCLUDING BRACKETS AND CONNECTORS AS NOTED ON PLANS.  NO CHANGE OF USE, EGRESS OR OCCUPANCY UNDER THIS APPLICATION.",2023-07-03,03/01/2023,40.829421,-73.816035,$42240.00
BRONX,A2,P,04/05/2023,240344999,OTHERS,03/15/2023,N2,REPAIRS TO THE EXISTING PARKING DECK STRUCTURE.,2023-05-04,03/20/2023,40.889883,-73.90293,$0.00
BRONX,A2,P,06/10/2024,240345881,OTHERS,03/31/2023,Q1,FILING HEREWITH FOR SOLAR PANELS AS PER PLANS FILED HEREWITH.,2024-10-06,08/13/2023,,,$10000.00
BRONX,A2,P,07/10/2023,240350197,OTHERS,06/21/2023,C3,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF. NO CHANGE IN USE, OCCUPANCY, OR EGRESS. NO CHANGE IN BULK.",2023-10-07,06/22/2023,40.833981,-73.84676,$76658.00
BRONX,A2,P,09/07/2023,240354406,1-2-3 FAMILY,09/04/2023,C0,"INSTALLATION OF SOLAR PV SYSTEM ON THE EXISTING ROOFTOP.  NO CHANGES TO THE EGRESS, USE OR OCCUPANCY",2023-07-09,09/04/2023,40.838017,-73.926471,$44400.00
BRONX,A2,P,09/08/2023,240353826,1-2-3 FAMILY,08/23/2023,A5,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF. NO CHANGE IN USE, OCCUPANCY, OR EGRESS. NO CHANGE IN BULK.",2023-08-09,08/24/2023,40.871402,-73.838517,$34995.00
BRONX,A2,P,12/01/2023,220746487,OTHERS,04/13/2022,N9,PROPOSED RENOVATION OF EXISTING APARTMENTS. NO CHANGE IN USE OR EGRESS,2023-01-12,04/14/2022,40.808764,-73.922096,$3360000.00
BRONX,A2,R,01/03/2023,240341475,1-2-3 FAMILY,12/27/2022,B1,INSTALLATION OF A ROOFTOP SOLAR PANEL PV SYSTEM,2023-03-01,12/27/2022,40.882093,-73.849054,$14600.00
BRONX,A2,R,01/04/2023,240341082,1-2-3 FAMILY,12/19/2022,C0,"ROOFTOP SOLAR INSTALLATION. NO CHANGE TO USE, OCCUPANCY OR EGRESS.",2023-04-01,12/19/2022,40.87184,-73.883059,$102440.00
BRONX,A2,R,01/06/2023,240341554,1-2-3 FAMILY,12/29/2022,A1,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF STRUCTURE. NO CHANGE IN EGRESS, USE, OR OCCUPANCY.",2023-06-01,01/06/2023,40.907621,-73.898527,$51049.00
BRONX,A2,R,01/09/2023,240340788,1-2-3 FAMILY,12/12/2022,B1,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF. NO CHANGE IN USE, OCCUPANCY,  OR EGRESS. NO CHANGE IN BULK.",2023-09-01,12/12/2022,40.837016,-73.863399,$65957.00
BRONX,A2,R,01/09/2023,240341028,1-2-3 FAMILY,12/16/2022,B1,"SCOPE OF WORK IS SOLELY FOR THE INSTALLATION OF THE SOLAR ELECTRONIC  GENERATING SYSTEM. ALL OTHER WORK IS NOT TO BE RELIED UPON AS BEING  APPROVED AND/OR PERMITTED BY THE NYC DEPARTMENT OF BUILDINGS.  *NO CHANGE TO USE, EGRESS OR OCCUPANCY.*",2023-09-01,12/16/2022,40.873113,-73.860526,$43200.00
BRONX,A2,R,01/11/2023,240341983,1-2-3 FAMILY,01/10/2023,C0,"INSTALLATION OF SOLAR PANELS ON ROOF. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",2023-11-01,01/10/2023,40.885493,-73.850641,$30800.00
BRONX,A2,R,02/01/2023,240341439,1-2-3 FAMILY,12/27/2022,B1,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF. NO CHANGE IN USE, OCCUPANCY,  OR EGRESS. NO CHANGE IN BULK.",2023-01-02,12/28/2022,40.836392,-73.845754,$48721.00
BRONX,A2,R,02/01/2023,240342009,1-2-3 FAMILY,01/10/2023,B1,INSTALLATION OF A ROOFTOP SOLAR PANEL PV SYSTEM,2023-01-02,01/10/2023,40.831571,-73.859265,$34000.00
BRONX,A2,R,02/01/2023,240342857,1-2-3 FAMILY,01/31/2023,B1,INSTALLATION OF A ROOFTOP SOLAR PANEL PV SYSTEM,2023-01-02,01/31/2023,40.874602,-73.840147,$21900.00
BRONX,A2,R,02/02/2023,240342848,1-2-3 FAMILY,01/31/2023,B1,INSTALLATION OF A ROOFTOP SOLAR PANEL PV SYSTEM,2023-02-02,01/31/2023,40.863654,-73.844403,$16425.00
BRONX,A2,R,02/06/2023,240332243,OTHERS,07/07/2022,R0,"INSTALLATION OF PHOTOVOLTAIC SOLAR ARRAY ON ROOF INCLUING ALL  RELATED STRUCTURAL WORK AS PER PLANS FILED HEREWITH. NO CHANGE  TO USE, EGRESS OR OCCUPANCY.",2023-06-02,08/06/2022,40.81167,-73.924903,$85655.00
BRONX,A2,R,02/06/2023,240333046,1-2-3 FAMILY,07/22/2022,B1,"INSTALLATION OF SOLAR PV SYSEM ON THE EXISTING ROOFTOP.  NO CHANGES TO THE EGRESS, USE OR OCCUPANCY",2023-06-02,07/22/2022,40.815336,-73.864401,$48716.00
BRONX,A2,R,02/06/2023,240342036,OTHERS,01/10/2023,D1,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF. NO CHANGE IN USE, OCCUPANCY,  OR EGRESS. NO CHANGE IN BULK.",2023-06-02,01/11/2023,40.88173,-73.883746,$93037.00
BRONX,A2,R,02/06/2024,240354497,1-2-3 FAMILY,09/05/2023,A5,"INSTALLATION OF SOLAR PV SYSTEM ON THE EXSITING ROOFTOP.  NO CHANGES TO THE EGRESS, USE OR OCCUPANCY.",2024-06-02,09/22/2023,40.873467,-73.858406,$57600.00
BRONX,A2,R,02/07/2023,240342599,1-2-3 FAMILY,01/24/2023,B2,"INSTALLATION OF SOLAR PANEL SYSTEMS ON EXISTING ROOF INCLUDING BRACKETS AND CONNECTORS AS NOTED ON PLANS.  NO CHANGE OF USE, EGRESS OR OCCUPANCY UNDER THIS APPLICATION.",2023-07-02,01/25/2023,40.844662,-73.863062,$20440.00
BRONX,A2,R,02/07/2023,240343348,1-2-3 FAMILY,02/07/2023,B2,"INSTALLATION OF SOLAR PANELS ON ROOF. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",2023-07-02,02/07/2023,40.892495,-73.859509,$12000.00
BRONX,A2,R,02/08/2023,240343197,1-2-3 FAMILY,02/06/2023,B1,INSTALLATION OF A ROOFTOP SOLAR PANEL PV SYSTEM,2023-08-02,02/06/2023,40.862818,-73.845703,$12000.00
BRONX,A2,R,02/08/2023,240343384,1-2-3 FAMILY,02/08/2023,B3,INSTALLATION OF A ROOFTOP SOLAR PANEL PV SYSTEM,2023-08-02,02/08/2023,40.810259,-73.851255,$32850.00
BRONX,A2,R,02/08/2023,240343393,1-2-3 FAMILY,02/08/2023,A1,"INSTALLATION OF SOLAR PANELS ON ROOF. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",2023-08-02,02/08/2023,40.890922,-73.846712,$37000.00
BRONX,A2,R,02/09/2023,240343179,1-2-3 FAMILY,02/03/2023,B1,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF. NO CHANGE IN USE, OCCUPANCY,  OR EGRESS. NO CHANGE IN BULK.",2023-09-02,02/03/2023,40.889548,-73.841421,$22869.00
BRONX,A2,R,02/09/2023,240343240,1-2-3 FAMILY,02/06/2023,B2,"INSTALLATION OF SOLAR SYSTEM ON THE ROOF AS PER PLAN. NO CHANGE IN USE, EGRESS OR OCCUPANCY",2023-09-02,02/08/2023,40.893906,-73.84689,$37861.00
BRONX,A2,R,02/10/2023,240342303,1-2-3 FAMILY,01/16/2023,B1,"SCOPE OF WORK IS SOLELY FOR THE INSTALLATION OF THE SOLAR ELECTRONIC  GENERATING SYSTEM. ALL OTHER WORK IS NOT TO BE RELIED UPON AS BEING  APPROVED AND/OR PERMITTED BY THE NYC DEPARTMENT OF BUILDINGS.  *NO CHANGE TO USE, EGRESS OR OCCUPANCY.*",2023-10-02,01/16/2023,40.817716,-73.864956,$64800.00
BRONX,A2,R,02/10/2023,240343222,1-2-3 FAMILY,02/06/2023,B1,"SCOPE OF WORK IS SOLELY FOR THE INSTALLATION OF THE SOLAR ELECTRONIC  GENERATING SYSTEM. ALL OTHER WORK IS NOT TO BE RELIED UPON AS BEING  APPROVED AND/OR PERMITTED BY THE NYC DEPARTMENT OF BUILDINGS.  *NO CHANGE TO USE, EGRESS OR OCCUPANCY.*",2023-10-02,02/06/2023,40.871959,-73.862036,$99200.00
BRONX,A2,R,02/11/2023,240342900,1-2-3 FAMILY,01/31/2023,B1,INSTALLATION OF A ROOFTOP SOLAR PANEL PV SYSTEM,2023-11-02,01/31/2023,40.886334,-73.853258,$25550.00
BRONX,A2,R,03/01/2023,240344418,1-2-3 FAMILY,03/01/2023,C0,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF. NO CHANGE IN USE, OCCUPANCY OR EGRESS. NO CHANGE IN BULK",2023-01-03,03/01/2023,40.834372,-73.900922,$89990.00
BRONX,A2,R,03/02/2023,240344454,1-2-3 FAMILY,03/02/2023,A2,"FILING HEREWITH TAX ABATEMENT APPLICATION FOR INSTALLATION OF ROOF MOUNTED SOLAR PANELS.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",2023-02-03,03/02/2023,40.867619,-73.852023,$25249.00
BRONX,A2,R,03/02/2023,240344472,1-2-3 FAMILY,03/02/2023,A1,"FILING HEREWITH TAX ABATEMENT APPLICATION FOR INSTALLATION OF ROOF MOUNTED SOLAR PANELS.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",2023-02-03,03/02/2023,40.894695,-73.850093,$14082.00
BRONX,A2,R,03/06/2023,240343838,1-2-3 FAMILY,02/16/2023,C0,"SCOPE OF WORK IS SOLELY FOR THE INSTALLATION OF THE SOLAR ELECTRONIC  GENERATING SYSTEM. ALL OTHER WORK IS NOT TO BE RELIED UPON AS BEING  APPROVED AND/OR PERMITTED BY THE NYC DEPARTMENT OF BUILDINGS.  *NO CHANGE TO USE, EGRESS OR OCCUPANCY.*",2023-06-03,02/16/2023,40.855221,-73.907257,$68437.00
BRONX,A2,R,03/06/2023,240344132,1-2-3 FAMILY,02/24/2023,B2,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF STRUCTURE. NO CHANGE IN EGRESS, USE, OR OCCUPANCY.",2023-06-03,02/25/2023,40.870775,-73.882941,$65153.00
BRONX,A2,R,03/06/2023,240344427,1-2-3 FAMILY,03/01/2023,C0,INSTALLATION OF A ROOFTOP SOLAR PANEL PV SYSTEM,2023-06-03,03/01/2023,40.889705,-73.845807,$21900.00
BRONX,A2,R,03/07/2023,240294855,1-2-3 FAMILY,11/18/2020,A3,"INTERIOR AND EXTERIOIR  RENOVATION OF EXISITNG ONE FAMILY HOUSE .PARTITION AND FINISHING WORK.  NO CHANGE IN EGRESS, USE OR OCCUPANCY",2023-07-03,07/28/2021,40.897885,-73.905081,$125000.00
BRONX,A2,R,03/07/2023,240343151,1-2-3 FAMILY,02/03/2023,B1,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF. NO CHANGE IN USE, OCCUPANCY,  OR EGRESS. NO CHANGE IN BULK.",2023-07-03,02/03/2023,40.863976,-73.843405,$14249.00
BRONX,A2,R,03/07/2023,240344686,1-2-3 FAMILY,03/07/2023,C0,INSTALLATION OF ROOFTOP SOLAR PANEL PV SYSTEM,2023-07-03,03/07/2023,40.845522,-73.861473,$27375.00
BRONX,A2,R,03/08/2023,201199817,OTHERS,05/21/2019,W1,MODIFICATIONS/ADDITIONS TO EXISTING FIRE ALARM SYSTEM.,2023-08-03,05/21/2019,40.810803,-73.907015,$25000.00
BRONX,A2,R,03/08/2023,240344668,1-2-3 FAMILY,03/06/2023,B2,"INSTALLATION OF SOLAR PANELS ON ROOF. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",2023-08-03,03/06/2023,40.83739,-73.848625,$61418.00
BRONX,A2,R,03/09/2023,240344784,1-2-3 FAMILY,03/09/2023,A1,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF. NO CHANGE IN USE, OCCUPANCY, OR EGRESS. NO CHANGE IN BULK",2023-09-03,03/09/2023,40.892979,-73.858416,$33990.00
BRONX,A2,R,03/10/2023,240344604,1-2-3 FAMILY,03/06/2023,B3,INSTALLATION OF A ROOFTOP SOLAR PANEL PV SYSTEM,2023-10-03,03/06/2023,40.878607,-73.857303,$23725.00
BRONX,A2,R,03/10/2023,240344864,1-2-3 FAMILY,03/10/2023,A2,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF. NO CHANGE IN USE, OCCUPANCY, OR EGRESS. NO CHANGE IN BULK",2023-10-03,03/10/2023,40.810873,-73.857637,$82500.00
BRONX,A2,R,04/01/2023,240345523,1-2-3 FAMILY,03/24/2023,C0,INSTALLATION OF A ROOFTOP SOLAR PANEL PV SYSTEM,2023-01-04,03/24/2023,40.840224,-73.834046,$25550.00
BRONX,A2,R,04/05/2023,240345391,1-2-3 FAMILY,03/22/2023,B1,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF. NO CHANGE IN USE, OCCUPANCY,  OR EGRESS. NO CHANGE IN BULK.",2023-05-04,03/23/2023,40.875867,-73.837891,$28613.00
BRONX,A2,R,04/05/2023,240345453,1-2-3 FAMILY,03/23/2023,B1,"SCOPE OF WORK IS SOLELY FOR THE INSTALLATION OF THE SOLAR ELECTRONIC  GENERATING SYSTEM. ALL OTHER WORK IS NOT TO BE RELIED UPON AS BEING  APPROVED AND/OR PERMITTED BY THE NYC DEPARTMENT OF BUILDINGS.  *NO CHANGE TO USE, EGRESS OR OCCUPANCY.*",2023-05-04,03/23/2023,40.872215,-73.864596,$57000.00
BRONX,A2,R,04/07/2023,240346167,1-2-3 FAMILY,04/07/2023,B2,"INSTALLATION OF SOLAR PANELS ON ROOF. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",2023-07-04,04/07/2023,40.846046,-73.859097,$47000.00
BRONX,A2,R,04/09/2023,240346005,1-2-3 FAMILY,04/04/2023,A1,INSTALLATION OF A ROOFTOP SOLAR PANEL PV SYSTEM,2023-09-04,04/04/2023,40.902811,-73.907643,$62050.00
BRONX,A2,R,04/11/2023,240345426,1-2-3 FAMILY,03/23/2023,B9,"SCOPE OF WORK IS SOLELY FOR THE INSTALLATION OF THE SOLAR ELECTRONIC  GENERATING SYSTEM. ALL OTHER WORK IS NOT TO BE RELIED UPON AS BEING  APPROVED AND/OR PERMITTED BY THE NYC DEPARTMENT OF BUILDINGS.  *NO CHANGE TO USE, EGRESS OR OCCUPANCY.*",2023-11-04,03/23/2023,40.887696,-73.85375,$24000.00
BRONX,A2,R,04/12/2023,240342811,1-2-3 FAMILY,01/30/2023,B1,"SCOPE OF WORK IS SOLELY FOR THE INSTALLATION OF THE SOLAR ELECTRONIC  GENERATING SYSTEM. ALL OTHER WORK IS NOT TO BE RELIED UPON AS BEING  APPROVED AND/OR PERMITTED BY THE NYC DEPARTMENT OF BUILDINGS.  *NO CHANGE TO USE, EGRESS OR OCCUPANCY.*",2023-12-04,01/30/2023,40.832794,-73.850182,$46537.00
BRONX,A2,R,04/12/2023,240344338,1-2-3 FAMILY,03/01/2023,A5,"ROOFTOP SOLAR INSTALLATION. NO CHANGE TO USE, OCCUPANCY OR EGRESS.",2023-12-04,03/01/2023,40.884847,-73.8538,$28800.00
BRONX,A2,R,05/01/2023,240346862,1-2-3 FAMILY,04/20/2023,A5,INSTALLATION OF A ROOFTOP SOLAR PANEL PV SYSTEM,2023-01-05,04/20/2023,40.882059,-73.846201,$10950.00
BRONX,A2,R,05/02/2023,240346540,1-2-3 FAMILY,04/17/2023,C0,"SCOPE OF WORK IS SOLELY FOR THE INSTALLATION OF THE SOLAR ELECTRONIC  GENERATING SYSTEM. ALL OTHER WORK IS NOT TO BE RELIED UPON AS BEING  APPROVED AND/OR PERMITTED BY THE NYC DEPARTMENT OF BUILDINGS.  *NO CHANGE TO USE, EGRESS OR OCCUPANCY.*",2023-02-05,04/17/2023,40.872011,-73.866133,$41063.00
BRONX,A2,R,05/02/2023,240346764,1-2-3 FAMILY,04/19/2023,B1,INSTALLATION OF A ROOFTOP SOLAR PANEL PV SYSTEM,2023-02-05,04/19/2023,40.868383,-73.850926,$20075.00
BRONX,A2,R,05/02/2023,240347077,1-2-3 FAMILY,04/25/2023,B2,INSTALLATION OF A ROOFTOP SOLAR PANEL PV SYSTEM,2023-02-05,04/25/2023,40.884185,-73.864767,$21900.00
BRONX,A2,R,05/02/2023,240347219,1-2-3 FAMILY,04/26/2023,B2,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF. NO CHANGE IN USE, OCCUPANCY, OR EGRESS. NO CHANGE IN BULK.",2023-02-05,04/26/2023,40.840641,-73.875155,$20000.00
BRONX,A2,R,05/03/2023,240347371,1-2-3 FAMILY,04/28/2023,A2,"ROOFTOP SOLAR INSTALLATION. NO CHANGE TO USE, OCCUPANCY OR EGRESS.",2023-03-05,04/28/2023,40.824943,-73.819006,$40793.00
BRONX,A2,R,05/05/2023,240347558,1-2-3 FAMILY,05/03/2023,A2,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF. NO CHANGE IN USE, OCCUPANCY, OR EGRESS. NO CHANGE IN BULK.",2023-05-05,05/04/2023,40.835083,-73.891243,$70504.00
BRONX,A2,R,05/08/2023,240346835,OTHERS,04/20/2023,C1,"INSTALLATION OF 55.625 KW SOLAR ENERGY SYSTEM ON ROOF. NO CHANGE OF OCCUPANCY, USE OR EGRESS.",2023-08-05,04/24/2023,40.869015,-73.89092,$152969.00
BRONX,A2,R,05/08/2023,240346871,1-2-3 FAMILY,04/20/2023,B1,INSTALLATION OF A ROOFTOP SOLAR PANEL PV SYSTEM,2023-08-05,04/20/2023,40.891317,-73.844024,$20075.00
BRONX,A2,R,05/08/2023,240347040,1-2-3 FAMILY,04/24/2023,B1,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF. NO CHANGE IN USE, OCCUPANCY, OR EGRESS. NO CHANGE IN BULK.",2023-08-05,04/25/2023,40.828843,-73.882112,$76488.00
BRONX,A2,R,05/08/2023,240347059,1-2-3 FAMILY,04/24/2023,B1,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF. NO CHANGE IN USE, OCCUPANCY, OR EGRESS. NO CHANGE IN BULK.",2023-08-05,04/25/2023,40.815608,-73.864465,$40102.00
BRONX,A2,R,05/08/2023,240347594,1-2-3 FAMILY,05/04/2023,A1,"INSTALLATION OF SOLAR PANELS ON ROOF. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",2023-08-05,05/04/2023,40.854858,-73.849557,$26837.00
BRONX,A2,R,05/09/2023,240347424,1-2-3 FAMILY,05/01/2023,B1,INSTALLATION OF A ROOFTOP SOLAR PANEL PV SYSTEM,2023-09-05,05/01/2023,40.893555,-73.844876,$32850.00
BRONX,A2,R,05/09/2023,240347825,1-2-3 FAMILY,05/09/2023,B2,INSTALLATION OF ROOFTOP SOLAR PANEL PV SYSTEM,2023-09-05,05/09/2023,40.883239,-73.865611,$29200.00
BRONX,A2,R,05/10/2023,240347692,1-2-3 FAMILY,05/05/2023,B3,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF. NO CHANGE IN USE, OCCUPANCY, OR EGRESS. NO CHANGE IN BULK.",2023-10-05,05/08/2023,40.892164,-73.855849,$22869.00
